BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
2,3006,3030,25,106526130,108369627,106,0.87944
11,14291,14315,25,45130713,47283116,45,0.71541
13,16343,16367,25,46079192,47256972,46,0.63153
22,24193,24217,25,51112744,53158683,51,0.56035
1,1678,1702,25,143615536,145222792,143,0.53209
3,4594,4618,25,106389461,108074024,106,0.51706
19,21419,21443,25,19669849,22011112,19,0.51528
15,18447,18471,25,65496837,66868403,65,0.51049
10,12908,12932,25,37352437,39607613,37,0.5063
9,12036,12060,25,63460554,65203849,63,0.50321
6,7620,7644,25,18750621,20374972,18,0.4902
3,4624,4648,25,108355081,110014389,108,0.43417
8,11119,11143,25,93998021,95603538,93,0.43267
3,4043,4067,25,65335142,66653007,65,0.43173
15,17759,17783,25,5371776,7989843,5,0.42079
26,26507,26531,25,29107702,30573598,29,0.41867
15,18141,18165,25,37309941,39469268,37,0.41234
13,16259,16283,25,39270967,40880250,39,0.41211
6,7490,7514,25,9633428,11301952,9,0.40926
17,20218,20242,25,57228766,59320664,57,0.39974
24,25253,25277,25,27951089,29328512,27,0.39047
7,9411,9435,25,56130546,57887001,56,0.38508
15,18414,18438,25,62428148,64628706,62,0.38391
28,27430,27454,25,8405753,10333239,8,0.3836
7,8995,9019,25,21249976,23426104,21,0.37426
4,5215,5239,25,37021317,38335417,37,0.37133
8,10907,10931,25,76738695,78390388,76,0.36886
1,781,805,25,66344261,68227488,66,0.36654
6,8126,8150,25,64542255,66549547,64,0.3648
22,23687,23711,25,5051642,6485383,5,0.3592
13,16038,16062,25,18268908,20545039,18,0.35513
11,14010,14034,25,20654410,21994682,20,0.33928
29,28330,28354,25,41133252,43328607,41,0.33775
3,4432,4456,25,94642183,96729115,94,0.33774
18,20874,20898,25,34666281,36895563,34,0.33147
17,20402,20426,25,69496828,71503614,69,0.32661
6,8066,8090,25,59565686,61810659,59,0.32075
16,18826,18850,25,16152096,19712926,16,0.31601
23,24428,24452,25,9104671,11251946,9,0.31315
14,17120,17144,25,25501417,27321716,25,0.31135
29,27977,28001,25,9157256,11330233,9,0.30952
1,1165,1189,25,100237544,102421173,100,0.30733
4,4847,4871,25,6604523,7823707,6,0.30618
16,18718,18742,25,3035722,6168426,3,0.30472
1,1364,1388,25,118837556,120625309,118,0.30455
3,4186,4210,25,76429465,78170557,76,0.29947
10,12957,12981,25,42060020,44255052,42,0.29758
7,9219,9243,25,38904457,40617615,38,0.29585
17,20264,20288,25,61248541,62504788,61,0.2952
5,6656,6680,25,43977904,46364432,43,0.29519
1,1403,1427,25,122271495,123759167,122,0.29455
17,20314,20338,25,64576912,65923565,64,0.28255
26,26558,26582,25,32670961,34398368,32,0.28214
26,26196,26220,25,3358903,5094776,3,0.2814
8,10646,10670,25,53070787,55004792,53,0.28051
28,27341,27365,25,77680,3637555,0,0.27159
15,18261,18285,25,47522748,50927481,47,0.27095
9,12064,12088,25,65384777,69072417,65,0.27005
5,6917,6941,25,75684520,77413005,75,0.26575
1,1250,1274,25,108453122,110070985,108,0.26556
22,24307,24331,25,59836668,61099118,59,0.26431
27,27013,27037,25,20962310,22779747,20,0.2637
6,8321,8345,25,86460153,89479553,86,0.26196
13,16608,16632,25,67406632,69670639,67,0.25689
13,16452,16476,25,55973589,57548174,55,0.25453
