BTA,StartSNP,EndSNP,SizeSNP,StartPos,EndPos,WinId,varianceexplained
7,9411,9435,25,56130546,57887001,56,0.82983
2,3269,3293,25,127782861,129768904,127,0.76546
1,781,805,25,66344261,68227488,66,0.7547
17,20264,20288,25,61248541,62504788,61,0.60797
21,23286,23310,25,40681426,42440611,40,0.52989
10,12908,12932,25,37352437,39607613,37,0.52206
6,7502,7526,25,10638463,12169113,10,0.5048
2,1970,1994,25,5370008,7492224,5,0.48305
15,17759,17783,25,5371776,7989843,5,0.47494
23,24420,24444,25,8513266,10631079,8,0.42835
14,16925,16949,25,8984849,10717598,8,0.41435
22,24193,24217,25,51112744,53158683,51,0.40687
13,16405,16429,25,51415790,53657996,51,0.40177
6,8553,8577,25,104245701,106090600,104,0.39146
13,16346,16370,25,46203780,47415727,46,0.38936
25,25887,25911,25,21290132,22890173,21,0.38831
12,14993,15017,25,5924378,9273807,5,0.38692
19,21419,21443,25,19669849,22011112,19,0.38586
27,27159,27183,25,32541258,34731324,32,0.38019
10,13058,13082,25,50185229,51775341,50,0.37339
6,8647,8671,25,110720211,112154716,110,0.37255
28,27430,27454,25,8405753,10333239,8,0.37247
8,11126,11150,25,94413416,96387986,94,0.37066
3,4582,4606,25,105536719,107181167,105,0.35646
28,27346,27370,25,456341,3998395,0,0.35305
13,16043,16067,25,18762878,21004145,18,0.35196
17,20402,20426,25,69496828,71503614,69,0.34981
10,13099,13123,25,52933550,54766746,52,0.34721
1,1232,1256,25,106709414,109032560,106,0.34221
25,25649,25673,25,138382,1737669,0,0.34029
13,16259,16283,25,39270967,40880250,39,0.33896
6,8320,8344,25,86380834,89172293,86,0.33653
9,12121,12145,25,73417713,75932080,73,0.33515
15,18411,18435,25,62236286,64436323,62,0.33456
3,4228,4252,25,79581142,81575667,79,0.33088
1,1353,1377,25,118072379,119790569,118,0.3308
9,12035,12059,25,63116931,65175762,63,0.33038
17,20201,20225,25,56181953,58016927,56,0.32403
18,20770,20794,25,24897738,26527686,24,0.32304
3,4432,4456,25,94642183,96729115,94,0.32162
5,6859,6883,25,71475195,73187595,71,0.31937
27,26978,27002,25,17918325,19464406,17,0.3193
15,18446,18470,25,65408389,66836559,65,0.31561
1,755,779,25,64730690,66188527,64,0.31081
6,7403,7427,25,1125213,3430045,1,0.30922
4,6151,6175,25,117412387,119041474,117,0.3082
1,806,830,25,68307813,70660314,68,0.30801
22,23836,23860,25,16727330,18457027,16,0.30492
10,12957,12981,25,42060020,44255052,42,0.29631
29,27891,27915,25,1348472,3074352,1,0.29606
5,6771,6795,25,61400176,64190317,61,0.29051
15,18192,18216,25,42261266,43746244,42,0.28927
4,5841,5865,25,90673284,92235197,90,0.28722
17,20312,20336,25,64342186,65833965,64,0.2865
6,7657,7681,25,21201112,23436503,21,0.2812
5,6656,6680,25,43977904,46364432,43,0.2811
7,9675,9699,25,78852485,80660955,78,0.27938
9,11692,11716,25,31457479,32795214,31,0.27555
20,22343,22367,25,29322034,33048635,29,0.26925
2,3006,3030,25,106526130,108369627,106,0.26586
2,2812,2836,25,78028191,80201648,78,0.2638
21,22915,22939,25,8161284,10042947,8,0.26348
1,1135,1159,25,98238089,99905012,98,0.25704
22,23904,23928,25,22075972,24576730,22,0.25402
9,12064,12088,25,65384777,69072417,65,0.25342
2,2656,2680,25,63181292,65069112,63,0.24891
16,19036,19060,25,36605953,37982355,36,0.24792
29,27968,27992,25,8136855,10729803,8,0.24657
7,9298,9322,25,44490836,46626888,44,0.24589
10,12529,12553,25,3488689,5598788,3,0.24543
17,20119,20143,25,47664855,49743917,47,0.24118
15,18262,18286,25,47565242,51041325,47,0.24041
9,12159,12183,25,77162640,81098768,77,0.23905
19,21588,21612,25,34667494,36209593,34,0.23706
8,11076,11100,25,90338627,92700263,90,0.23678
3,4170,4194,25,75364755,76821191,75,0.23468
24,25392,25416,25,37958693,40260020,37,0.23355
8,10642,10666,25,52939275,54779775,52,0.23322
10,12760,12784,25,21225382,26325867,21,0.22988
29,28240,28264,25,32833123,34746857,32,0.22875
5,7160,7184,25,104585591,106713645,104,0.22667
11,14757,14781,25,92130041,94640611,92,0.22662
21,23112,23136,25,23923849,26715346,23,0.22579
29,28205,28229,25,29688117,31846063,29,0.22576
7,9578,9602,25,69898570,73290787,69,0.22161
18,20874,20898,25,34666281,36895563,34,0.21935
6,7620,7644,25,18750621,20374972,18,0.21904
3,3399,3423,25,535711,2449969,0,0.21775
5,7038,7062,25,88807061,91320953,88,0.21618
1,1597,1621,25,137170300,139231307,137,0.21598
18,20911,20935,25,37745427,39825584,37,0.2156
5,7114,7138,25,98579869,101721892,98,0.21496
12,15020,15044,25,9754433,11653787,9,0.21441
25,26048,26072,25,33958794,35280667,33,0.21192
13,15940,15964,25,9139641,10747684,9,0.21181
6,7765,7789,25,32548500,35728464,32,0.21176
24,25253,25277,25,27951089,29328512,27,0.21093
1,1790,1814,25,151693959,153421779,151,0.20966
12,15700,15724,25,79871469,81642369,79,0.20825
6,8066,8090,25,59565686,61810659,59,0.20822
9,12254,12278,25,87008260,88693128,87,0.20744
14,17092,17116,25,22983665,25215027,22,0.20651
5,6954,6978,25,79277155,81612132,79,0.20536
1,1729,1753,25,147358989,148794544,147,0.20487
2,3297,3321,25,130031069,131882804,130,0.20326
10,12992,13016,25,44821159,46598505,44,0.20167
21,23339,23363,25,44862140,47902442,44,0.20135
23,24499,24523,25,14540324,16171880,14,0.20116
11,13879,13903,25,10661606,12596662,10,0.20097
8,10908,10932,25,76771728,78482209,76,0.20018
19,21267,21291,25,7273862,8745752,7,0.19997
29,28162,28186,25,26438465,28702318,26,0.19827
15,18375,18399,25,59434020,61444205,59,0.19667
12,15318,15342,25,41479027,45705138,41,0.19563
20,22220,22244,25,16780563,18950015,16,0.19531
19,21474,21498,25,24307384,25861955,24,0.19523
11,13706,13730,25,217441,1733607,0,0.19506
22,23778,23802,25,12258334,14133039,12,0.19452
2,2978,3002,25,103470685,105900619,103,0.19451
4,6116,6140,25,114902164,116437584,114,0.19302
5,6705,6729,25,49977047,54231399,49,0.19131
17,20444,20468,25,72710280,74666629,72,0.19075
8,11030,11054,25,86810388,88974063,86,0.1906
7,9121,9145,25,31189486,33017653,31,0.19008
25,26117,26141,25,38232904,40376753,38,0.18969
8,10531,10555,25,44276510,45925424,44,0.18948
29,28437,28461,25,48843374,50569383,48,0.18778
10,13238,13262,25,66884934,68789694,66,0.18765
10,13192,13216,25,60762753,64316811,60,0.18749
23,24872,24896,25,48165597,49651909,48,0.18748
1,1000,1024,25,86543082,88150843,86,0.18711
1,545,569,25,47011181,49279500,47,0.18687
4,6030,6054,25,107540967,109887827,107,0.18574
22,23693,23717,25,5524106,6876710,5,0.18504
6,8126,8150,25,64542255,66549547,64,0.18367
21,23155,23179,25,28199518,30608016,28,0.18356
10,13337,13361,25,77234231,79877539,77,0.18307
20,22686,22710,25,59565871,61653010,59,0.18289
24,25333,25357,25,33272897,35530139,33,0.1826
22,24312,24335,24,60084013,61258859,60,0.1796
15,17969,17993,25,25693584,26820202,25,0.17789
11,13912,13936,25,13248475,15156976,13,0.17705
10,13291,13315,25,71528114,74608049,71,0.17641
24,25281,25305,25,29658517,31133584,29,0.17509
25,25860,25884,25,18206998,21102365,18,0.17479
3,4692,4716,25,113786118,115369820,113,0.17463
2,1995,2019,25,7520210,9245063,7,0.17436
24,24962,24986,25,2186221,3749382,2,0.17414
7,9710,9734,25,81863002,83551608,81,0.17301
6,7908,7932,25,45253378,47032183,45,0.17264
9,11645,11669,25,26295194,28836299,26,0.17185
11,14518,14542,25,68277183,70065583,68,0.17171
16,19266,19290,25,58941100,60527452,58,0.17124
12,15368,15392,25,47953450,49522021,47,0.17065
11,14291,14315,25,45130713,47283116,45,0.17021
7,9368,9392,25,50056139,53859609,50,0.1689
2,2919,2943,25,94314937,97861814,94,0.16843
21,23224,23248,25,35371521,37233645,35,0.16823
8,10597,10621,25,49626726,51369892,49,0.16807
2,3036,3060,25,108549488,110139283,108,0.16787
8,10081,10105,25,1946257,4708633,1,0.16744
13,16083,16107,25,22821740,25606469,22,0.16734
14,17667,17691,25,80475984,83131368,80,0.16734
6,8094,8118,25,62048830,63893575,62,0.1673
16,18911,18935,25,26701780,28714453,26,0.16703
1,596,620,25,51598998,53968516,51,0.1669
24,25564,25588,25,55380898,57482936,55,0.16669
4,5305,5329,25,44836559,46462919,44,0.16663
14,16888,16912,25,5903806,7718808,5,0.1662
1,18,42,25,1513277,3148834,1,0.16617
11,14631,14655,25,78685302,81568010,78,0.16549
11,14420,14444,25,59160754,60974044,59,0.1654
29,28316,28340,25,40153672,41891179,40,0.16534
3,4337,4361,25,87954648,89373222,87,0.16512
8,10772,10796,25,63901386,66192312,63,0.16494
12,15082,15106,25,14574147,16518473,14,0.16491
10,13434,13458,25,85302011,86868858,85,0.16463
18,21023,21047,25,46875864,48719962,46,0.16349
25,25990,26014,25,29977087,31789354,29,0.16345
4,5578,5602,25,67822341,70305010,67,0.16334
9,11555,11579,25,18046372,21059107,18,0.16332
11,14025,14049,25,21535801,22783522,21,0.16296
21,22984,23008,25,13173337,15920240,13,0.16245
17,20368,20392,25,67438814,68839081,67,0.16146
7,9627,9651,25,74970972,76641810,74,0.16051
9,12473,12497,25,103383683,105035231,103,0.15997
6,8019,8043,25,54826213,56393992,54,0.15918
9,12290,12314,25,89762109,91405210,89,0.15907
6,7827,7851,25,39816133,41530548,39,0.15812
25,25941,25965,25,25669327,27912102,25,0.15778
6,8688,8712,25,113101714,114426181,113,0.15754
8,10138,10162,25,7684602,9356062,7,0.15735
4,5920,5944,25,96631679,99757044,96,0.156
22,24156,24180,25,47682240,49402072,47,0.15598
14,17035,17059,25,18460103,20323857,18,0.1557
9,11393,11417,25,2934964,5045079,2,0.15427
3,3992,4016,25,61384165,62887463,61,0.15421
7,9542,9566,25,66702151,69004072,66,0.15414
5,6256,6280,25,3665810,5214146,3,0.15399
9,11610,11634,25,23470934,25034961,23,0.15395
17,20086,20110,25,45258744,47170772,45,0.15301
28,27631,27655,25,26530892,27762101,26,0.15172
11,13953,13977,25,16262479,17952803,16,0.15159
12,14940,14964,25,860453,3045383,0,0.15154
19,21983,22006,24,62177834,64007021,62,0.1515
9,12093,12117,25,69486616,72822507,69,0.15118
25,25759,25783,25,10254815,11937399,10,0.15107
10,13022,13046,25,47114150,49189795,47,0.15099
23,24711,24735,25,34379695,37418384,34,0.14879
4,5875,5899,25,92795803,94973039,92,0.14863
18,21187,21211,25,63632070,65269893,63,0.14809
19,21386,21410,25,17236707,18637678,17,0.14778
1,712,736,25,61530474,63199096,61,0.14741
4,6087,6111,25,112433116,114565961,112,0.14713
3,4265,4289,25,82653990,84693517,82,0.14645
4,5414,5438,25,54063010,56479030,54,0.14636
8,10288,10312,25,22084349,24326412,22,0.14634
24,25460,25484,25,45471120,47413118,45,0.14538
19,21864,21888,25,54674498,56300082,54,0.14526
5,7249,7273,25,111079258,112494968,111,0.14506
1,1673,1697,25,143379850,144758824,143,0.14489
25,25689,25713,25,3172211,5836611,3,0.14447
12,15256,15280,25,32967261,35324036,32,0.14427
12,15812,15836,25,88862272,90826206,88,0.14372
13,16672,16696,25,72570537,74579327,72,0.14322
9,11721,11745,25,33196236,35109955,33,0.14285
18,20476,20500,25,1137609,3114628,1,0.14285
20,22090,22114,25,6385223,7661649,6,0.14283
9,11448,11472,25,8245432,10858927,8,0.1426
12,15577,15601,25,63784586,65931247,63,0.14248
1,288,312,25,27034490,29524658,27,0.14181
12,15475,15499,25,54304795,56005485,54,0.14145
8,10418,10442,25,34367019,36443492,34,0.14108
2,3324,3348,25,131994228,133941380,131,0.14072
1,877,901,25,75258338,78034231,75,0.14047
25,25730,25754,25,7322244,9906629,7,0.14036
19,21670,21694,25,41032288,42902904,41,0.13977
29,28365,28389,25,44050471,45686541,44,0.13961
7,9884,9908,25,98534197,101530636,98,0.13874
4,4967,4991,25,15468000,17482624,15,0.13827
2,2747,2771,25,71023597,73165500,71,0.13815
6,7878,7902,25,43274120,45017700,43,0.13803
20,22160,22184,25,11228271,13106033,11,0.13765
26,26268,26292,25,9248661,11054561,9,0.13758
2,2581,2605,25,55442525,57373897,55,0.13739
29,28394,28418,25,46143465,47852399,46,0.13674
26,26521,26545,25,29838712,31650452,29,0.13654
22,24222,24246,25,53695239,55556217,53,0.13644
9,12204,12228,25,82276522,83738200,82,0.13552
27,26889,26913,25,12457385,14053471,12,0.13552
7,8821,8845,25,2817908,4058780,2,0.13548
3,4114,4138,25,69391345,71141852,69,0.13547
27,26948,26972,25,15884697,17593646,15,0.13395
4,5783,5807,25,85514666,87086801,85,0.13377
14,17345,17369,25,48858864,50815043,48,0.13365
14,17275,17299,25,42089128,44962156,42,0.13225
16,19149,19173,25,48229459,50458174,48,0.1322
4,5008,5032,25,19001805,20558788,19,0.13191
9,11515,11539,25,14817532,16658980,14,0.13112
23,24536,24560,25,17358665,19349032,17,0.13103
19,21946,21970,25,59879433,61205726,59,0.13084
28,27836,27860,25,42582828,44118793,42,0.13077
24,25534,25558,25,52349934,54688033,52,0.12975
17,20164,20188,25,53201552,55519655,53,0.12971
